#,red,green,blue,label
205,195,248,212,Green
206,159,110,233,Purple
207,187,90,38,Brown
208,177,251,233,Green
209,209,185,127,Brown
210,148,152,109,Green
211,13,24,227,Blue
212,34,251,11,Green
213,136,128,148,Purple
214,128,76,189,Purple
215,250,11,126,Pink
216,148,175,65,Green
217,100,70,139,Purple
218,222,187,175,Brown
219,6,207,15,Green
220,32,2,42,Purple
221,140,133,31,Green
222,196,138,75,Brown
223,170,103,140,Pink
224,129,3,158,Pink
225,178,135,94,Brown
226,79,43,164,Blue
227,234,205,4,Yellow
228,207,112,105,Pink
229,67,6,95,Purple
230,216,187,235,Purple
231,20,230,66,Green
232,3,88,41,Green
233,219,124,89,Orange
234,110,137,90,Green
235,168,127,98,Brown
236,79,30,185,Blue
237,54,238,248,Blue
238,42,82,224,Blue
239,128,4,95,Pink
240,170,119,95,Brown
241,2,250,110,Green
242,88,75,176,Blue
243,120,181,117,Green
244,65,224,187,Green
245,229,22,242,Pink
246,191,121,110,Brown
247,115,10,109,Purple
248,92,107,247,Blue
249,155,180,197,Blue
250,69,44,84,Purple
251,84,201,197,Green
252,7,34,18,Green
253,72,191,249,Blue
254,51,53,126,Blue
255,109,96,41,Brown
256,35,65,88,Blue
257,17,173,96,Green
258,165,158,189,Pink
259,153,221,50,Green
260,122,40,228,Purple
261,210,36,105,Pink
262,190,223,111,Green
263,120,244,253,Blue
264,207,244,229,Green
265,14,118,139,Blue
266,153,154,24,Green
267,198,237,249,Blue
268,146,97,184,Purple
269,35,176,27,Green
270,68,45,203,Blue
271,1,247,169,Green
272,67,90,56,Green
273,96,198,3,Green
274,152,237,10,Green
275,181,171,2,Yellow
276,122,23,133,Purple
277,186,47,95,Pink
278,229,58,166,Pink
279,69,85,150,Blue
280,131,107,11,Brown
281,55,192,161,Green
282,71,125,226,Blue
283,67,28,196,Blue
284,117,181,80,Green
285,229,185,186,Pink
286,120,120,120,Grey
287,29,74,18,Green
288,70,213,238,Blue
289,162,1,129,Pink
290,30,40,67,Purple
291,164,116,242,Purple
292,115,233,181,Green
293,76,4,8,Brown
294,101,190,184,Green
295,135,190,83,Green
296,72,228,88,Green
297,59,183,152,Green
298,235,222,85,Yellow
299,20,131,231,Blue
300,35,142,53,Green
301,230,49,147,Pink
302,78,150,192,Blue
303,157,121,220,Pink
304,147,53,75,Brown
305,6,149,209,Blue
306,123,239,227,Green
307,205,85,150,Pink
308,122,39,144,Purple
309,199,19,240,Pink
310,145,215,190,Green
311,31,60,63,Green
312,179,244,226,Green
313,219,220,186,Green
314,34,197,28,Green
315,168,190,32,Green
316,2,71,158,Blue
317,238,80,21,Orange
318,191,140,49,Brown
319,199,31,155,Pink
320,15,143,148,Blue
321,32,97,29,Green
322,43,77,186,Blue
323,60,11,84,Purple
324,26,86,254,Blue
325,105,66,152,Purple
326,174,221,94,Green
327,40,177,88,Green
328,189,174,180,Grey
329,8,175,154,Green
330,74,220,219,Blue
331,121,178,183,Grey
332,107,71,222,Purple
333,169,213,160,Green
334,229,240,86,Yellow
335,249,137,157,Pink
336,201,157,44,Brown
337,119,144,38,Green
338,188,229,226,Green
339,76,187,67,Green
340,221,52,249,Pink
341,174,233,91,Green
342,248,55,15,Red
343,174,28,150,Pink
344,191,205,98,Green
345,113,206,41,Green
346,210,33,190,Pink
347,159,246,224,Green
348,195,110,19,Brown
349,73,17,171,Blue
350,252,241,233,White
351,202,123,172,Pink
352,79,90,5,Green
353,205,112,113,Pink
354,125,248,226,Green
355,167,147,124,Grey
356,13,58,246,Blue
357,184,109,139,Pink
358,19,96,217,Blue
359,77,211,119,Green
360,87,176,74,Green
361,181,128,28,Brown
362,145,183,215,Blue
363,148,232,0,Green
364,23,159,174,Blue
365,122,232,125,Green
366,98,116,99,Grey
367,115,125,178,Purple
368,177,157,0,Yellow
369,12,249,121,Green
370,168,172,202,Purple
371,221,211,11,Yellow
372,114,247,58,Green
373,162,215,94,Green
374,128,184,246,Blue
375,2,7,204,Blue
376,182,109,159,Pink
377,51,87,240,Blue
378,35,36,61,Purple
379,163,253,92,Green
380,30,57,136,Blue
381,53,42,252,Blue
382,71,17,91,Purple
383,71,74,223,Blue
384,104,18,188,Purple
385,114,187,18,Green
386,203,115,23,Brown
387,230,93,43,Orange
388,147,221,41,Green
389,60,226,61,Green
390,80,95,201,Blue
391,223,152,61,Orange
392,59,46,42,Grey
393,156,144,45,Green
394,63,205,153,Green
395,197,115,185,Pink
396,130,130,130,Grey
397,231,128,94,Orange
398,20,89,24,Green
399,65,125,123,Green
400,143,146,218,Purple
401,46,155,194,Blue
402,193,177,233,Purple
403,242,34,9,Red
404,220,120,90,Red
405,240,45,126,Pink
406,20,222,197,Green
407,87,129,132,Blue
408,128,196,105,Green
409,234,141,208,Pink
410,189,248,77,Green
411,247,53,94,Pink
412,204,205,247,Purple
413,201,233,157,Green
414,94,13,222,Blue
415,183,187,187,Grey
416,87,148,42,Green
417,176,231,77,Green
418,195,142,11,Brown
419,1,111,117,Blue
420,195,132,103,Brown
421,66,227,191,Green
422,88,35,56,Brown
423,123,99,207,Purple
424,243,149,98,Orange
425,202,201,24,Yellow
426,48,8,190,Blue
427,221,127,20,Orange
428,240,206,72,Yellow
429,62,81,3,Green
430,5,19,229,Blue
431,135,37,59,Pink
432,43,229,122,Green
433,133,40,27,Brown
434,55,53,138,Blue
435,159,122,90,Brown
436,243,215,47,Yellow
437,56,128,184,Blue
438,60,29,223,Blue
439,25,194,80,Green
440,246,72,245,Pink
441,237,69,233,Pink
442,218,82,77,Red
443,211,136,229,Pink
444,19,13,75,Blue
445,141,142,11,Green
446,207,105,252,Pink
447,143,77,224,Purple
448,231,12,234,Pink
449,165,114,41,Brown
450,68,244,12,Green
451,204,7,233,Pink
452,235,3,189,Pink
453,169,55,5,Brown
454,110,235,19,Green
455,169,156,179,Grey
456,5,247,157,Green
457,150,10,91,Purple
458,95,58,22,Brown
459,83,215,214,Blue
460,69,14,240,Blue
461,72,18,219,Blue
462,166,239,214,Green
463,199,224,241,Blue
464,220,57,28,Orange
465,180,130,236,Purple
466,82,169,128,Green
467,239,173,169,Red
468,206,99,62,Orange
469,125,125,125,Grey
470,219,143,181,Pink
471,141,173,250,Blue
472,17,91,221,Blue
473,62,59,252,Blue
474,114,160,218,Blue
475,167,124,102,Brown
476,204,48,145,Pink
477,80,144,186,Blue
478,148,207,98,Green
479,186,112,39,Brown
480,151,70,222,Purple
481,111,198,67,Green
482,165,240,20,Green
483,220,227,38,Yellow
484,142,170,123,Green
485,245,80,23,Red
486,120,26,5,Brown
487,13,191,8,Green
488,101,0,248,Blue
489,56,251,197,Green
490,72,153,14,Green
491,180,69,92,Pink
492,203,75,249,Pink
493,34,103,152,Blue
494,179,71,6,Brown
495,39,74,239,Blue
496,95,106,1,Green
497,251,215,93,Yellow
498,140,51,31,Brown
499,209,57,132,Pink
500,46,137,135,Blue
501,173,1,92,Pink
502,1,6,229,Blue
503,101,76,21,Brown
504,133,123,7,Green
505,86,163,60,Green
506,239,61,198,Pink
507,110,145,63,Green
508,149,234,80,Green
509,83,158,215,Blue
510,170,165,156,Grey
511,173,71,215,Pink
512,170,150,45,Green
513,49,132,99,Green
514,114,208,211,Blue
515,236,239,154,Yellow
516,78,92,46,Green
517,252,171,40,Orange
518,162,129,1,Green
519,246,118,99,Orange
520,148,85,60,Brown
521,16,76,160,Blue
522,12,5,42,Blue
523,51,249,131,Green
524,128,233,202,Green
525,61,203,194,Green
526,217,26,95,Pink
527,71,51,80,Purple
528,61,127,159,Blue
529,13,67,65,Green
530,37,254,62,Green
531,139,139,164,Purple
532,139,67,74,Brown
533,137,37,2,Brown
534,232,31,179,Pink
535,126,193,109,Green
536,101,43,107,Purple
537,247,165,79,Orange
538,130,52,98,Purple
539,152,42,27,Brown
540,245,58,75,Red
541,4,249,212,Blue
542,19,127,104,Green
543,248,118,171,Pink
544,201,129,93,Brown
545,64,80,27,Green
546,254,102,188,Pink
547,205,25,228,Pink
548,196,157,52,Yellow
549,148,101,239,Purple
550,244,254,169,Yellow
551,169,49,52,Red
552,37,53,135,Blue
553,131,97,60,Brown
554,213,179,7,Yellow
555,246,25,203,Pink
556,70,78,142,Blue
557,140,248,129,Green
558,197,30,165,Pink
559,120,123,233,Blue
560,229,249,59,Yellow
561,172,78,160,Pink
562,26,204,231,Blue
563,161,153,7,Green
564,170,132,118,Brown
565,105,124,214,Blue
566,50,73,171,Blue
567,110,96,204,Blue
568,39,63,13,Green
569,209,219,16,Yellow
570,89,14,191,Blue
571,74,181,179,Green
572,178,156,246,Purple
573,225,160,112,Orange
574,120,41,87,Purple
575,228,139,154,Red
576,68,205,249,Blue
577,220,47,140,Pink
578,235,167,133,Orange
579,43,59,201,Blue
580,163,185,121,Green
581,138,96,202,Purple
582,202,57,125,Pink
583,59,179,85,Green
584,187,237,228,Green
585,92,39,137,Purple
586,174,101,34,Brown
587,8,27,198,Blue
588,80,125,31,Green
589,175,247,139,Green
590,85,31,74,Purple
591,134,0,144,Pink
592,9,199,98,Green
593,253,21,122,Pink
594,90,3,81,Purple
595,66,61,30,Green
596,22,236,214,Blue
597,83,233,103,Green
598,219,71,92,Red
599,119,192,150,Green
600,67,118,160,Blue
601,28,115,202,Blue
602,156,209,66,Green
603,155,134,18,Green
604,69,1,24,Pink
605,228,189,184,Red
606,205,60,59,Red
607,5,91,179,Blue
608,23,183,94,Green
609,97,178,41,Green
610,204,155,147,Red
611,123,223,68,Green
612,85,52,94,Purple
613,137,65,152,Purple
614,142,27,154,Purple
615,126,153,140,Grey
616,39,180,217,Blue
617,239,215,170,Yellow
618,45,188,153,Green
619,144,160,44,Green
620,44,111,120,Blue
621,42,227,207,Green
622,82,224,19,Green
623,48,143,67,Green
624,12,43,46,Blue
625,81,234,68,Green
626,248,150,15,Orange
627,184,245,78,Green
628,104,53,47,Brown
629,153,73,201,Pink
630,82,135,138,Blue
631,249,28,30,Red
632,152,2,147,Pink
633,188,107,149,Pink
634,211,162,112,Brown
635,239,133,203,Pink
636,215,32,95,Red
637,252,73,191,Pink
638,208,217,128,Green
639,217,90,158,Pink
640,32,131,41,Green
641,131,102,145,Purple
642,93,7,16,Brown
643,85,159,25,Green
644,252,35,208,Pink
645,114,252,105,Green
646,125,210,134,Green
647,58,37,55,Purple
648,67,178,227,Blue
649,195,45,131,Pink
650,244,2,251,Pink
651,45,9,107,Blue
652,119,121,186,Blue
653,233,90,21,Orange
654,189,211,32,Yellow
655,112,37,250,Purple
656,74,243,92,Green
657,195,241,142,Green
658,183,221,58,Green
659,152,244,166,Green
660,43,142,144,Blue
661,59,181,248,Blue
662,159,248,157,Green
663,131,73,15,Brown
664,232,84,65,Red
665,227,50,54,Red
666,195,165,161,Brown
667,151,162,25,Green
668,133,28,193,Purple
669,82,245,84,Green
670,186,93,30,Brown
671,237,126,98,Red
672,180,144,4,Green
673,165,74,83,Red
674,50,151,31,Green
675,62,194,243,Blue
676,181,105,88,Brown
677,76,155,133,Green
678,174,224,32,Green
679,143,251,58,Green
680,194,121,12,Orange
681,68,11,230,Blue
682,106,39,10,Brown
683,28,48,96,Blue
684,75,225,168,Green
685,45,101,115,Blue
686,153,252,9,Green
687,96,217,73,Green
688,47,75,71,Grey
689,226,236,28,Yellow
690,103,233,82,Green
691,18,11,144,Blue
692,65,137,194,Blue
693,164,244,169,Green
694,125,216,249,Blue
695,215,18,80,Red
696,87,74,20,Green
697,215,108,60,Orange
698,14,4,243,Blue
699,207,97,23,Orange
700,118,152,7,Green
701,87,68,246,Blue
702,171,75,50,Brown
703,33,227,71,Green
704,108,158,192,Blue
705,75,144,176,Blue
706,169,90,236,Pink
707,58,106,91,Green
708,165,84,204,Purple
709,89,20,34,Brown
710,238,122,164,Pink
711,69,239,136,Green
712,67,128,31,Green
713,201,125,179,Green
714,226,66,183,Pink
715,210,68,185,Pink
716,31,16,208,Blue
717,105,105,152,Blue
718,171,225,249,Blue
719,217,80,219,Pink
720,89,18,17,Brown
721,122,11,42,Red
722,240,62,128,Red
723,183,98,222,Purple
724,181,248,15,Green
725,185,158,166,Grey
726,165,211,10,Green
727,174,126,123,Brown
728,245,20,169,Pink
729,206,185,218,Blue
730,144,20,36,Red
731,234,227,148,Yellow
732,237,45,66,Red
733,117,176,42,Green
734,105,229,23,Green
735,199,176,32,Yellow
736,144,241,249,Blue
737,15,252,165,Green
738,133,87,102,Purple
739,0,253,115,Green
740,134,5,106,Purple
741,150,166,140,Green
742,209,118,100,Orange
743,107,141,23,Green
744,214,224,154,Green
745,76,141,210,Blue
746,167,9,55,Red
747,1,140,175,Blue
748,203,166,10,Yellow
749,37,108,182,Blue
750,34,20,85,Blue
751,252,229,92,Yellow
752,136,11,8,Red
753,71,210,125,Green
754,122,221,132,Green
755,253,64,161,Pink
756,16,229,249,Blue
757,206,162,89,Brown
758,226,196,24,Yellow
759,228,53,148,Pink
760,45,11,64,Purple
761,79,184,63,Green
762,34,30,151,Blue
763,192,50,171,Pink
764,237,112,162,Pink
765,85,169,225,Blue
766,103,100,246,Blue
767,36,81,59,Green
768,67,224,59,Green
769,130,202,85,Green
770,61,82,18,Green
771,251,118,190,Pink
772,196,70,138,Pink
773,167,110,212,Purple
774,57,74,154,Blue
775,45,216,247,Blue
776,252,78,204,Pink
777,177,57,173,Purple
778,108,136,107,Green
779,8,143,41,Green
780,41,122,243,Blue
781,241,237,85,Yellow
782,88,219,57,Green
783,182,61,119,Pink
784,54,118,100,Green
785,67,10,188,Blue
786,87,99,201,Blue
787,214,145,138,Red
788,7,181,11,Green
789,2,193,184,Blue
790,208,189,64,Yellow
791,98,93,244,Blue
792,76,60,9,Brown
793,217,169,48,Yellow
794,171,240,191,Green
795,187,17,168,Pink
796,155,107,84,Brown
797,197,69,2,Orange
798,237,64,158,Pink
799,67,189,237,Blue
800,248,61,147,Pink
801,16,103,114,Blue
802,174,65,47,Red
803,244,92,246,Pink
804,94,108,178,Blue
805,198,249,4,Yellow
806,226,218,234,Grey
807,69,139,20,Green
808,19,85,197,Blue
809,249,204,191,Orange
810,197,200,56,Green
811,12,16,138,Blue
812,161,61,212,Purple
813,34,36,215,Blue
814,107,16,191,Purple
815,70,187,130,Green
816,40,209,172,Green
817,51,92,204,Blue
818,187,38,182,Pink
819,135,96,28,Brown
820,5,125,250,Blue
821,11,248,38,Green
822,33,253,214,Green
823,185,245,115,Green
824,118,253,28,Green
825,20,76,214,Blue
826,247,180,5,Orange
827,100,126,200,Blue
828,235,156,198,Pink
829,230,104,223,Pink
830,223,181,249,Purple
831,133,133,133,Grey
832,32,123,0,Green
833,17,2,149,Blue
834,45,129,16,Green
835,242,242,11,Yellow
836,33,57,20,Green
837,110,29,3,Brown
838,36,221,9,Green
839,65,250,78,Green
840,121,121,121,Grey
841,166,209,227,Blue
842,231,234,253,Purple
843,72,31,134,Purple
844,210,206,234,Purple
845,3,94,144,Blue
846,62,219,97,Green
847,16,161,94,Green
848,153,146,30,Green
849,245,116,195,Pink
850,144,232,125,Green
851,218,35,153,Pink
852,250,163,51,Orange
853,21,147,125,Green
854,58,254,99,Green
855,137,66,68,Brown
856,80,39,91,Purple
857,35,39,92,Purple
858,65,144,68,Green
859,100,179,14,Green
860,38,168,140,Green
861,156,212,105,Green
862,44,37,113,Blue
863,137,51,240,Purple
864,158,29,217,Pink
865,158,158,158,Grey
866,192,236,15,Yellow
867,30,61,254,Blue
868,88,218,50,Green
869,187,123,158,Pink
870,80,130,207,Blue
871,187,166,55,Yellow
872,38,186,172,Blue
873,167,203,62,Green
874,76,200,125,Green
875,44,8,44,Purple
876,234,159,174,Red
877,224,114,28,Orange
878,1,33,230,Blue
879,8,156,127,Green
880,144,37,186,Purple
881,166,229,142,Green
882,154,153,123,Grey
883,8,22,215,Blue
884,67,152,91,Green
885,43,112,181,Blue
886,228,84,214,Pink
887,74,239,117,Green
888,47,74,13,Green
889,244,184,77,Orange
890,164,8,50,Red
891,186,93,229,Pink
892,221,172,11,Orange
893,191,13,19,Red
894,139,231,168,Green
895,86,23,144,Purple
896,73,161,124,Green
897,61,79,35,Green
898,192,28,52,Red
899,185,115,138,Pink
900,94,104,250,Blue
901,72,218,182,Green
902,164,247,217,Green
903,184,71,242,Purple
904,241,85,185,Pink
905,222,200,80,Yellow
906,31,132,202,Blue
907,87,135,12,Green
908,44,245,201,Green
909,212,45,202,Pink
910,204,113,33,Orange
911,197,204,251,Blue
912,82,29,210,Blue
913,182,31,173,Pink
914,0,43,225,Blue
915,108,246,54,Green
916,210,130,229,Purple
917,80,57,134,Purple
918,76,32,221,Blue
919,63,109,22,Green
920,42,148,44,Green
921,90,223,66,Green
922,237,74,202,Pink
923,3,128,220,Blue
924,248,57,58,Red
925,65,143,15,Green
926,122,190,200,Blue
927,148,176,246,Blue
928,216,47,113,Red
929,24,20,171,Blue
930,137,122,143,Grey
931,29,98,51,Green
932,45,177,172,Blue
933,114,137,94,Green
934,63,67,164,Blue
935,250,80,163,Pink
936,34,243,1,Green
937,22,247,106,Green
938,19,249,238,Blue
939,235,224,4,Yellow
940,219,29,246,Pink
941,97,158,109,Green
942,66,27,207,Blue
943,38,108,14,Green
944,36,175,140,Green
945,166,78,49,Brown
946,18,74,210,Blue
947,178,202,107,Green
948,108,75,98,Purple
949,218,44,212,Pink
950,61,249,121,Green
951,119,43,184,Purple
952,168,254,29,Green
953,244,44,72,Red
954,52,166,55,Green
955,121,106,76,Grey
956,218,19,192,Pink
957,85,184,229,Blue
958,76,176,54,Green
959,103,173,158,Green
960,165,96,7,Brown
961,241,176,37,Orange
962,176,151,162,Purple
963,31,103,26,Green
964,42,120,152,Blue
965,102,175,198,Blue
966,14,196,29,Green
967,35,147,35,Green
968,39,67,15,Green
969,119,147,60,Green
970,143,48,181,Pink
971,12,186,241,Blue
972,21,80,243,Blue
973,102,90,20,Brown
974,242,211,50,Yellow
975,4,66,238,Blue
976,134,224,20,Green
977,183,58,214,Pink
978,92,64,152,Purple
979,68,43,252,Blue
980,75,44,233,Blue
981,95,8,47,Pink
982,179,108,104,Red
983,38,21,88,Blue
984,180,111,160,Purple
985,218,30,192,Pink
986,177,32,71,Red
987,243,210,219,Red
988,155,224,198,Green
989,39,254,78,Green
990,28,49,49,Green
991,179,61,239,Pink
992,38,83,88,Green
993,168,88,204,Purple
994,253,83,214,Pink
995,33,22,248,Blue
996,223,91,154,Pink
997,6,206,245,Blue
998,220,33,210,Pink
999,204,188,12,Yellow
1000,67,153,30,Green
1001,6,9,16,Black
1002,206,137,120,Brown
1003,202,43,125,Pink
1004,50,150,212,Blue
1005,3,77,95,Blue
1006,161,195,240,Blue
1007,192,29,190,Pink
1008,245,50,98,Red
1009,217,136,126,Brown
1010,137,93,150,Purple
1011,58,249,250,Blue
1012,131,95,201,Purple
1013,43,246,160,Green
1014,15,205,124,Green
1015,225,39,120,Pink
1016,208,215,46,Yellow
1017,29,68,152,Blue
1018,53,123,80,Green
1019,44,159,110,Green
1020,98,217,127,Green
1021,227,215,133,Yellow
1022,182,38,81,Red
1023,27,203,3,Green
1024,199,108,23,Orange
1025,201,215,178,Green
1026,218,202,42,Yellow
1027,158,30,56,Red
1028,220,116,78,Orange
1029,225,235,44,Yellow
1030,80,200,246,Blue
1031,18,152,65,Green
1032,167,71,182,Pink
1033,202,184,39,Yellow
1034,245,238,156,Yellow
1035,109,145,37,Green
1036,15,88,121,Blue
1037,128,181,250,Blue
1038,117,184,169,Green
1039,190,131,220,Pink
1040,15,129,132,Green
1041,30,214,132,Green
1042,228,135,41,Orange
1043,224,126,98,Brown
1044,207,28,26,Red
1045,21,36,134,Blue
1046,23,51,164,Blue
1047,34,88,52,Green
1048,68,15,2,Brown
1049,90,217,186,Green
1050,212,57,132,Pink
1051,154,136,42,Green
1052,106,179,71,Green
1053,95,133,30,Green
1054,1,131,217,Blue
1055,56,111,48,Green
1056,232,88,66,Red
1057,105,80,61,Brown
1058,130,76,36,Brown
1059,94,250,212,Green
1060,252,167,138,Orange
1061,253,96,190,Pink
1062,136,212,254,Blue
1063,174,188,1,Green
1064,227,136,146,Red
1065,107,237,217,Blue
1066,26,121,111,Green
1067,122,30,207,Purple
1068,13,77,45,Green
1069,38,222,179,Green
1070,167,24,220,Purple
1071,90,20,154,Purple
1072,104,139,69,Green
1073,10,139,33,Green
1074,172,19,211,Purple
1075,196,205,15,Yellow
1076,16,223,143,Green
1077,176,176,176,Grey
1078,105,47,34,Brown
1079,70,5,176,Blue
1080,236,144,4,Orange
1081,208,177,25,Yellow
1082,48,131,77,Green
1083,229,188,152,Brown
1084,64,30,176,Blue
1085,125,159,86,Green
1086,161,236,83,Green
1087,210,191,64,Yellow
1088,33,17,183,Blue
1089,245,34,34,Red
1090,170,108,19,Brown
1091,213,167,231,Purple
1092,198,211,84,Green
1093,204,188,6,Yellow
1094,80,89,222,Blue
1095,26,89,86,Green
1096,98,61,192,Purple
1097,82,101,107,Grey
1098,102,171,118,Green
1099,138,99,170,Purple
1100,4,253,159,Green
1101,251,158,192,Pink
1102,162,150,163,Grey
1103,83,139,227,Blue
1104,163,250,150,Green
1105,40,126,239,Blue
1106,100,224,128,Green
1107,236,172,254,Pink
1108,242,75,245,Pink
1109,41,5,1,Brown
1110,30,71,134,Blue
1111,127,0,54,Pink
1112,207,237,242,Blue
1113,89,105,19,Green
1114,192,236,204,Green
1115,54,252,37,Green
1116,42,195,33,Green
1117,41,191,51,Green
1118,179,22,33,Red
1119,247,234,78,Yellow
1120,141,229,4,Green
1121,253,237,145,Yellow
1122,123,202,242,Blue
1123,27,46,80,Blue
1124,206,196,17,Yellow
1125,130,2,12,Red
1126,84,101,161,Blue
1127,180,80,176,Pink
1128,135,16,205,Purple
1129,53,171,67,Green
1130,21,51,171,Blue
1131,158,77,120,Purple
1132,138,159,19,Green
1133,23,209,25,Green
1134,134,46,175,Purple
1135,54,218,38,Green
1136,199,55,233,Pink
1137,72,86,125,Blue
1138,129,130,51,Green
1139,29,99,25,Green
1140,156,57,148,Purple
1141,125,11,40,Red
1142,188,183,193,Grey
1143,234,126,74,Orange
1144,77,79,224,Blue
1145,167,174,15,Green
1146,59,160,198,Blue
1147,220,93,187,Pink
1148,245,127,200,Pink
1149,42,245,79,Green
1150,82,179,93,Green
1151,94,82,115,Purple
1152,111,248,209,Green
1153,211,201,78,Yellow
1154,83,130,156,Blue
1155,65,83,157,Blue
1156,53,40,200,Blue
1157,246,150,8,Orange
1158,205,58,39,Red
1159,5,253,113,Green
1160,191,243,57,Green
1161,248,58,166,Pink
1162,108,136,121,Grey
1163,168,131,253,Purple
1164,226,81,197,Pink
1165,29,193,91,Green
1166,95,245,241,Blue
1167,215,43,61,Red
1168,194,40,242,Pink
1169,229,88,84,Red
1170,112,152,21,Green
1171,83,12,19,Brown
1172,240,24,223,Pink
1173,103,4,68,Purple
1174,52,122,20,Green
1175,119,106,224,Blue
1176,51,67,168,Blue
1177,129,27,196,Purple
1178,128,178,183,Blue
1179,59,254,88,Green
1180,123,225,170,Green
1181,221,89,191,Pink
